t=2026-06-14T21:39:17+0530 lvl=info msg="no configuration paths supplied"
t=2026-06-14T21:39:17+0530 lvl=info msg="using configuration at default config path" path=/home/aryan-budukh/.config/ngrok/ngrok.yml
t=2026-06-14T21:39:17+0530 lvl=info msg="open config file" path=/home/aryan-budukh/.config/ngrok/ngrok.yml err=nil
t=2026-06-14T21:39:17+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-14T21:39:17+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-14T21:39:17+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-14T21:39:17+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-14T21:40:42+0530 lvl=info msg="join connections" obj=join id=ccb622558698 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:42+0530 lvl=info msg="join connections" obj=join id=24baa6cf21c5 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:42+0530 lvl=info msg="join connections" obj=join id=73e0ff1c99f6 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:42+0530 lvl=info msg="join connections" obj=join id=47e220265c8d l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:42+0530 lvl=info msg="join connections" obj=join id=831d91ac9ca6 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:42+0530 lvl=info msg="join connections" obj=join id=f1544bf4aaa2 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:42+0530 lvl=info msg="join connections" obj=join id=8b4a3f23e29b l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:42+0530 lvl=info msg="join connections" obj=join id=b709791a6013 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:42+0530 lvl=info msg="join connections" obj=join id=f48f17861ee6 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:42+0530 lvl=info msg="join connections" obj=join id=daa1fad39262 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:42+0530 lvl=info msg="join connections" obj=join id=7ae6855d523d l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:42+0530 lvl=info msg="join connections" obj=join id=10d255fdc623 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:42+0530 lvl=info msg="join connections" obj=join id=32a8442280d8 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:37548
t=2026-06-14T21:40:43+0530 lvl=info msg="join connections" obj=join id=f21bf2f269ab l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:59136
t=2026-06-14T21:40:44+0530 lvl=info msg="join connections" obj=join id=96e50d48e52b l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:615c:6efc:a514:b3ef]:44614
t=2026-06-14T21:40:45+0530 lvl=info msg="join connections" obj=join id=fad2d60b8db4 l=127.0.0.1:3000 r=[2401:4900:8fc8:26f5:ad70:79f2:30ba:631e]:59142
